"Treatment";"VisitorKnown";"ViewsOnSale";"ViewedBeforePageCART";"HadBasketAdd";"WasConvertedBefore";"TimeSinceLastVisit";"TimeSinceLastConversion";"TimeOnProduct";"TimeOnOverview";"TimeOnSale";"ClicksPerProduct";"ChannelPaid";"TimeToFirstSearch";"TimeToFirstOverview";"TimeToFirstProduct";"TimeToFirstCART";"TimeToFirstSale";"TimeSinceFirstCART";"NrDifferentProduct";"TimeToBasketAdd";"BasketQuantity";"NormalizedBasketSum";"TimeSinceClick";"TimeSinceTabSwitch";"ScreenWidth";"DurationLastVisit";"HourOfDay";"PageIsHome";"PageIsSearch";"PageIsProduct";"PageIsOverview";"PageIsSale";"Conversion"
1;0;0;0;1;0;3252568;3564135;82205;180924;100238;"0";0;136;9;24;324;90;267;11;260;3;59;17;99;1920;806;20;0;0;0;1;0;1
1;0;5;0;0;0;3252568;3564135;29640;47580;90831;"0";0;136;100;125;324;0;267;2;315;0;1;4;19;1093;806;16;0;0;0;1;0;0
1;0;0;0;0;0;3252568;3564135;0;64864;100238;"0";0;136;18;89;324;90;267;1;315;0;1;2;24;1600;806;14;0;0;1;0;0;0
1;0;0;0;0;0;3252568;3564135;11253;115119;100238;"0";0;136;0;19;324;90;267;2;315;0;1;0;4;1920;806;6;0;0;1;0;0;1
1;1;0;0;0;0;3252568;3564135;86319;14949;100238;"0";0;136;0;114;324;90;267;0;315;0;1;7;136;1600;806;20;0;0;0;1;0;0
1;0;0;0;0;0;3252568;3564135;86319;164412;100238;"0";0;136;26;114;324;90;267;0;315;0;1;3;40;1280;806;0;0;0;0;1;0;0
1;1;1;0;0;0;2582117;3564135;86319;16482;0;"0";0;136;52;114;324;0;267;0;315;0;1;10;136;1600;338;6;0;0;0;1;0;0
1;0;7;0;1;0;3252568;3564135;987844;75343;450557;"0";0;136;77;397;324;0;267;2;529;2;109;8;733;1920;806;9;0;0;0;0;1;0
1;1;0;0;0;0;2336334;3564135;86319;119855;100238;"0";0;136;0;114;324;90;267;0;315;0;1;0;225;1600;392;16;0;0;0;1;0;0
1;1;0;0;0;0;2530385;3564135;86319;0;100238;"0";0;136;58;114;324;90;267;0;315;0;1;8;136;1600;2746;19;0;0;0;1;0;0
1;0;1;0;0;0;3252568;3564135;86319;97479;34601;"0";0;136;0;114;324;49;267;0;315;0;1;0;136;1600;806;21;0;0;0;1;0;0
1;0;0;0;1;0;3252568;3564135;118347;37692;100238;"0";0;331;41;0;324;90;267;6;331;1;6;2;282;1920;806;19;0;0;1;0;0;1
1;0;0;0;0;0;3252568;3564135;79806;55913;100238;"0";0;136;7;53;324;90;267;3;315;0;1;1;8;1600;806;16;0;0;0;1;0;0
1;0;0;0;0;0;3252568;3564135;86319;36606;100238;"0";0;136;0;114;324;90;267;0;315;0;1;0;136;1280;806;18;0;0;0;1;0;0
1;0;9;0;0;0;3252568;3564135;12350;300599;315245;"0";0;136;54;469;324;0;267;1;315;0;1;2;136;1366;806;7;0;0;0;0;1;0
1;0;0;0;0;0;3252568;3564135;86319;62799;100238;"0";0;136;0;114;324;90;267;0;315;0;1;27;136;1600;806;9;0;0;0;1;0;0
1;0;0;0;0;0;3252568;3564135;56722;143750;100238;"0";0;136;10;76;324;90;267;2;315;0;1;1;136;1366;806;15;0;0;1;0;0;0
1;0;0;0;0;0;3252568;3564135;37117;109088;100238;"1";0;136;0;107;324;90;267;2;315;0;1;10;136;1920;806;8;0;0;0;1;0;0
