Conversion;Treatment;VisitorKnown;ViewsOnSale;ViewedBeforePageCART;HadBasketAdd;WasConvertedBefore;TimeSinceLastVisit;TimeSinceLastConversion;TimeOnProduct;TimeOnOverview;TimeOnSale;ClicksPerProduct;ChannelPaid;TimeToFirstSearch;TimeToFirstOverview;TimeToFirstProduct;TimeToFirstCART;TimeToFirstSale;TimeSinceFirstCART;NrDifferentProduct;TimeToBasketAdd;BasketQuantity;NormalizedBasketSum;TimeSinceClick;TimeSinceTabSwitch;ScreenWidth;DurationLastVisit;HourOfDay;PageIsHome;PageIsSearch;PageIsProduct;PageIsOverview;PageIsSale
0;0;1;0;0;0;0;417.332.515.234.465;387.402.608.257.218;11013;10000;667.088.239.658.343;2;0;53;31;42;272.951.640.667.025;792.896.657.825.784;320.822.592.791.824;1;267.689.931.696.855;0;1;0;11;1920;760.044.443.726.684;7;0;1;0;0;0
0;0;0;0;0;0;0;417.332.515.234.465;387.402.608.257.218;199866;635.893.025.932.571;667.088.239.658.343;183.333.333.333.333;0;23;741.542.893.631.471;121;272.951.640.667.025;792.896.657.825.784;320.822.592.791.824;5;267.689.931.696.855;0;1;1;57;1920;760.044.443.726.684;21;0;0;1;0;0
0;0;0;0;0;0;0;417.332.515.234.465;387.402.608.257.218;199866;635.893.025.932.571;667.088.239.658.343;183.333.333.333.333;0;23;741.542.893.631.471;121;272.951.640.667.025;792.896.657.825.784;320.822.592.791.824;5;267.689.931.696.855;0;1;1;57;1920;760.044.443.726.684;21;0;0;1;0;0
0;0;0;0;0;0;0;417.332.515.234.465;387.402.608.257.218;33444;141230;667.088.239.658.343;0;0;139.346.467.067.547;0;135;272.951.640.667.025;792.896.657.825.784;320.822.592.791.824;2;267.689.931.696.855;0;1;17;143.125.195.099.837;1280;760.044.443.726.684;13;0;0;0;1;0
0;0;0;0;0;0;0;417.332.515.234.465;387.402.608.257.218;33444;141230;667.088.239.658.343;0;0;139.346.467.067.547;0;135;272.951.640.667.025;792.896.657.825.784;320.822.592.791.824;2;267.689.931.696.855;0;1;17;143.125.195.099.837;1280;760.044.443.726.684;13;0;0;0;1;0
0;0;0;0;0;0;0;417.332.515.234.465;387.402.608.257.218;79822;76409;667.088.239.658.343;0.25;0;139.346.467.067.547;66;109;272.951.640.667.025;792.896.657.825.784;320.822.592.791.824;2;267.689.931.696.855;0;1;0;143.125.195.099.837;1219;760.044.443.726.684;20;0;0;1;0;0
0;0;0;0;0;0;0;417.332.515.234.465;387.402.608.257.218;79822;76409;667.088.239.658.343;0.25;0;139.346.467.067.547;66;109;272.951.640.667.025;792.896.657.825.784;320.822.592.791.824;2;267.689.931.696.855;0;1;0;143.125.195.099.837;1219;760.044.443.726.684;20;0;0;1;0;0
0;0;0;0;0;0;0;417.332.515.234.465;387.402.608.257.218;79822;76409;667.088.239.658.343;0.25;0;139.346.467.067.547;66;109;272.951.640.667.025;792.896.657.825.784;320.822.592.791.824;2;267.689.931.696.855;0;1;0;143.125.195.099.837;1219;760.044.443.726.684;20;0;0;1;0;0
0;0;0;0;0;0;0;417.332.515.234.465;387.402.608.257.218;90488;83294;667.088.239.658.343;2;0;139.346.467.067.547;0;42;272.951.640.667.025;792.896.657.825.784;320.822.592.791.824;2;267.689.931.696.855;0;1;1;143.125.195.099.837;1600;760.044.443.726.684;11;0;0;0;1;0
0;0;0;0;0;0;0;417.332.515.234.465;387.402.608.257.218;90488;83294;667.088.239.658.343;2;0;139.346.467.067.547;0;42;272.951.640.667.025;792.896.657.825.784;320.822.592.791.824;2;267.689.931.696.855;0;1;1;143.125.195.099.837;1600;760.044.443.726.684;11;0;0;0;1;0
