p2_uplift_seminarWI
Conversion;Treatment;VisitorKnown;ViewsOnSale;ViewedBeforePageCART;HadBasketAdd;WasConvertedBefore;TimeSinceLastVisit;TimeSinceLastConversion;TimeOnProduct;TimeOnOverview;TimeOnSale;ClicksPerProduct;ChannelPaid;TimeToFirstSearch;TimeToFirstOverview;TimeToFirstProduct;TimeToFirstCART;TimeToFirstSale;TimeSinceFirstCART;NrDifferentProduct;TimeToBasketAdd;BasketQuantity;NormalizedBasketSum;TimeSinceClick;TimeSinceTabSwitch;ScreenWidth;DurationLastVisit;HourOfDay;PageIsHome;PageIsSearch;PageIsProduct;PageIsOverview;PageIsSale
1;1;0;0;0;0;0;;;7785;24263;;;0;;320;0;;;;2;;0;1;106;461;1280;;15;0;0;1;0;0
1;1;0;0;0;0;0;;;279454;;;;0;;;0;;;;5;;0;1;2;;1024;;20;0;0;1;0;0
0;1;0;0;0;0;0;;;6072;164268;;1;0;;0;155;;;;1;;0;1;1;;1280;;16;0;0;0;1;0
0;1;1;7;0;0;0;;;138203;;179836;;0;;;64;;0;;4;;0;1;1;;1536;;17;0;0;0;0;1
0;1;1;0;0;0;0;2883617;;;933054;;;0;;0;;;;;0;;0;1;17;113;1088;523;19;0;0;0;1;0
0;1;0;3;0;0;0;;;21710;147314;247082;1;0;;423;88;;0;;1;;0;1;11;;1366;;19;0;0;0;1;0
0;1;0;6;0;0;0;;;;;132777;;0;;;;;0;;0;;0;1;2;;1366;;8;0;0;0;0;1
0;1;0;6;0;0;0;;;;;82898;;0;;;;;4;;0;;0;1;1;20;1093;;8;0;0;0;0;1
0;1;0;0;0;0;0;;;137013;142677;;;0;;25;129;;;;2;;0;1;3;11;1024;;17;0;0;0;1;0
0;1;0;0;0;0;0;;;;57769;;;0;;0;;;;;0;;0;1;1;;1600;;5;0;0;0;1;0
1;1;1;0;0;0;0;3494125;;41276;;;1;0;;;0;;;;3;;0;1;253;258;1366;52;3;0;0;1;0;0
0;1;0;0;0;0;0;;;;29695;;;0;;13;;;;;0;;0;1;1;;1280;;11;0;0;0;1;0
0;1;0;0;0;0;0;;;;14765;;;0;;7;;;;;0;;0;1;3;;1366;;11;0;0;0;1;0
1;1;1;0;0;1;0;21705;;161702;178007;;;0;;17;0;;;;6;376;1;2;33;182;1920;150;18;0;0;1;0;0
